Operator,Working set,Memory use,MACs
resnet50_1/conv5_block2_2_relu_1/Relu;resnet50_1/conv5_block2_2_bn_1/batchnorm/add_1;resnet50_1/conv5_block2_2_conv_1/convolution;,175 176 177,602112,115605504
resnet50_1/conv5_block2_3_bn_1/batchnorm/add_1;resnet50_1/conv5_block2_3_conv_1/convolution;,175 177 178,903168,51380224
resnet50_1/conv5_block2_out_1/Relu;resnet50_1/conv5_block2_add_1/Add,175 178 179,1204224,100352
resnet50_1/conv5_block3_1_relu_1/Relu;resnet50_1/conv5_block3_1_bn_1/batchnorm/add_1;resnet50_1/conv5_block3_1_conv_1/convolution;,179 180,501760,51380224
resnet50_1/conv5_block3_2_relu_1/Relu;resnet50_1/conv5_block3_2_bn_1/batchnorm/add_1;resnet50_1/conv5_block3_2_conv_1/convolution;,179 180 181,602112,115605504
resnet50_1/conv5_block3_3_bn_1/batchnorm/add_1;resnet50_1/conv5_block3_3_conv_1/convolution;,179 181 182,903168,51380224
resnet50_1/conv5_block3_out_1/Relu;resnet50_1/conv5_block3_add_1/Add,179 182 183,1204224,100352
resnet50_1/avg_pool_1/Mean,183 184,409600,100352
resnet50_1/predictions_1/MatMul;resnet50_1/predictions_1/BiasAdd,184 185,12192,2048000
StatefulPartitionedCall_1:0,185 186,8000,0
