Operator,Working set,Memory use,MACs
MobileNetV3Small_1/expanded_conv_6_squeeze_excite_mul_1/Mul,172 176 177,1440,0
MobileNetV3Small_1/expanded_conv_6_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_6_project_1/convolution;,177 178,672,5760
MobileNetV3Small_1/expanded_conv_7_expand_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_7_expand_1/convolution;,178 179,768,6912
MobileNetV3Small_1/activation_9_1/mul;;MobileNetV3Small_1/activation_9_1/Relu6;MobileNetV3Small_1/activation_9_1/add;MobileNetV3Small_1/activation_9_1/truediv,178 179 180,1344,0
MobileNetV3Small_1/expanded_conv_7_depthwise_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_7_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Small_1/expanded_conv_7_depthwise_1/depthwise;,178 180 181,1344,3600
MobileNetV3Small_1/activation_10_1/mul;;MobileNetV3Small_1/activation_10_1/Relu6;MobileNetV3Small_1/activation_10_1/add;MobileNetV3Small_1/activation_10_1/truediv,178 181 182,1344,0
MobileNetV3Small_1/expanded_conv_7_squeeze_excite_avg_pool_1/Mean,178 182 183,1344,144
MobileNetV3Small_1/expanded_conv_7_squeeze_excite_relu_1/Relu;MobileNetV3Small_1/expanded_conv_7_squeeze_excite_conv_1/BiasAdd;MobileNetV3Small_1/expanded_conv_7_squeeze_excite_conv_1/convolution;,178 182 183 184,1504,5760
MobileNetV3Small_1/re_lu_10_1/Relu6;MobileNetV3Small_1/Add_5;MobileNetV3Small_1/expanded_conv_7_squeeze_excite_conv_1_2/BiasAdd;MobileNetV3Small_1/expanded_conv_7_squeeze_excite_conv_1_2/convolution;,178 182 184 185,1504,5760
MobileNetV3Small_1/Mul_5,178 182 185 186,1920,0
MobileNetV3Small_1/expanded_conv_7_squeeze_excite_mul_1/Mul,178 182 186 187,1920,0
MobileNetV3Small_1/expanded_conv_7_project_bn_1/batchnorm/add_1;MobileNetV3Small_1/expanded_conv_7_project_1/convolution;,178 187 188,960,6912
