Id,Name,Shape,Size
331,functional_15_1/tf_conv_15_1/Sigmoid,1 40 40 128,819200
332,functional_15_1/tf_conv_15_1/mul_1,1 40 40 128,819200
333,functional_15_1/tfc3_2_1/tf_conv_16_1/conv2d_16_1/BiasAdd;functional_15_1/tfc3_2_1/tf_conv_16_1/conv2d_16_1/convolution;,1 40 40 64,409600
334,functional_15_1/tfc3_2_1/tf_conv_16_1/Sigmoid,1 40 40 64,409600
335,functional_15_1/tfc3_2_1/tf_conv_16_1/mul_1,1 40 40 64,409600
336,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_3_1/tf_conv_19_1/conv2d_19_1/BiasAdd;functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_3_1/tf_conv_19_1/conv2d_19_1/convolution;,1 40 40 64,409600
337,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_3_1/tf_conv_19_1/Sigmoid,1 40 40 64,409600
338,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_3_1/tf_conv_19_1/mul_1,1 40 40 64,409600
339,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_3_1/tf_conv_20_1/conv2d_20_1/BiasAdd;functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_3_1/tf_conv_20_1/conv2d_20_1/convolution;,1 40 40 64,409600
340,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_3_1/tf_conv_20_1/Sigmoid,1 40 40 64,409600
341,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_3_1/tf_conv_20_1/mul_1,1 40 40 64,409600
342,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_3_1/add,1 40 40 64,409600
343,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_4_1/tf_conv_21_1/conv2d_21_1/BiasAdd;functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_4_1/tf_conv_21_1/conv2d_21_1/convolution;,1 40 40 64,409600
344,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_4_1/tf_conv_21_1/Sigmoid,1 40 40 64,409600
345,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_4_1/tf_conv_21_1/mul_1,1 40 40 64,409600
346,functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_4_1/tf_conv_22_1/conv2d_22_1/BiasAdd;functional_15_1/tfc3_2_1/sequential_6_1/tf_bottleneck_4_1/tf_conv_22_1/conv2d_22_1/convolution;,1 40 40 64,409600
