Id,Name,Shape,Size
472,efficientnetv2-s_1/block4d_se_reduce_1/BiasAdd;efficientnetv2-s_1/block4d_se_reduce_1/convolution;efficientnetv2-s_1/block4d_se_reduce_1/Squeeze,1 1 1 32,128
473,efficientnetv2-s_1/block4d_se_reduce_1/Sigmoid,1 1 1 32,128
474,efficientnetv2-s_1/block4d_se_reduce_1/mul_1,1 1 1 32,128
475,efficientnetv2-s_1/block4d_se_expand_1/BiasAdd;efficientnetv2-s_1/block4d_se_expand_1/convolution;efficientnetv2-s_1/block4d_se_expand_1/Squeeze,1 1 1 512,2048
476,efficientnetv2-s_1/block4d_se_expand_1/Sigmoid,1 1 1 512,2048
477,efficientnetv2-s_1/block4d_se_excite_1/Mul,1 24 24 512,1179648
478,efficientnetv2-s_1/block4d_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4d_project_conv_1/convolution;efficientnetv2-s_1/block4d_project_bn_1/batchnorm/sub,1 24 24 128,294912
479,efficientnetv2-s_1/block4d_add_1/Add,1 24 24 128,294912
480,efficientnetv2-s_1/block4e_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4e_expand_conv_1/convolution;efficientnetv2-s_1/block4e_expand_bn_1/batchnorm/sub,1 24 24 512,1179648
481,efficientnetv2-s_1/block4e_expand_activation_1/Sigmoid,1 24 24 512,1179648
482,efficientnetv2-s_1/block4e_expand_activation_1/mul_1,1 24 24 512,1179648
483,efficientnetv2-s_1/block4e_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4e_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block4e_dwconv2_1/depthwise;efficientnetv2-s_1/block4e_bn_1/batchnorm/mul;efficientnetv2-s_1/block4e_bn_1/batchnorm/sub,1 24 24 512,1179648
484,efficientnetv2-s_1/block4e_activation_1/Sigmoid,1 24 24 512,1179648
485,efficientnetv2-s_1/block4e_activation_1/mul_1,1 24 24 512,1179648
486,efficientnetv2-s_1/block4e_se_squeeze_1/Mean,1 512,2048
487,efficientnetv2-s_1/block4e_se_reshape_1/Shape,2,8
488,efficientnetv2-s_1/block4e_se_reshape_1/strided_slice,,4
489,efficientnetv2-s_1/block4e_se_reshape_1/Reshape/shape,4,16
490,efficientnetv2-s_1/block4e_se_reshape_1/Reshape,1 1 1 512,2048
491,efficientnetv2-s_1/block4e_se_reduce_1/BiasAdd;efficientnetv2-s_1/block4e_se_reduce_1/convolution;efficientnetv2-s_1/block4e_se_reduce_1/Squeeze,1 1 1 32,128
492,efficientnetv2-s_1/block4e_se_reduce_1/Sigmoid,1 1 1 32,128
493,efficientnetv2-s_1/block4e_se_reduce_1/mul_1,1 1 1 32,128
494,efficientnetv2-s_1/block4e_se_expand_1/BiasAdd;efficientnetv2-s_1/block4e_se_expand_1/convolution;efficientnetv2-s_1/block4e_se_expand_1/Squeeze,1 1 1 512,2048
495,efficientnetv2-s_1/block4e_se_expand_1/Sigmoid,1 1 1 512,2048
496,efficientnetv2-s_1/block4e_se_excite_1/Mul,1 24 24 512,1179648
497,efficientnetv2-s_1/block4e_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4e_project_conv_1/convolution;efficientnetv2-s_1/block4e_project_bn_1/batchnorm/sub,1 24 24 128,294912
498,efficientnetv2-s_1/block4e_add_1/Add,1 24 24 128,294912
499,efficientnetv2-s_1/block4f_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4f_expand_conv_1/convolution;efficientnetv2-s_1/block4f_expand_bn_1/batchnorm/sub,1 24 24 512,1179648
500,efficientnetv2-s_1/block4f_expand_activation_1/Sigmoid,1 24 24 512,1179648
501,efficientnetv2-s_1/block4f_expand_activation_1/mul_1,1 24 24 512,1179648
502,efficientnetv2-s_1/block4f_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4f_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block4f_dwconv2_1/depthwise;efficientnetv2-s_1/block4f_bn_1/batchnorm/mul;efficientnetv2-s_1/block4f_bn_1/batchnorm/sub,1 24 24 512,1179648
503,efficientnetv2-s_1/block4f_activation_1/Sigmoid,1 24 24 512,1179648
504,efficientnetv2-s_1/block4f_activation_1/mul_1,1 24 24 512,1179648
505,efficientnetv2-s_1/block4f_se_squeeze_1/Mean,1 512,2048
506,efficientnetv2-s_1/block4f_se_reshape_1/Shape,2,8
507,efficientnetv2-s_1/block4f_se_reshape_1/strided_slice,,4
508,efficientnetv2-s_1/block4f_se_reshape_1/Reshape/shape,4,16
509,efficientnetv2-s_1/block4f_se_reshape_1/Reshape,1 1 1 512,2048
510,efficientnetv2-s_1/block4f_se_reduce_1/BiasAdd;efficientnetv2-s_1/block4f_se_reduce_1/convolution;efficientnetv2-s_1/block4f_se_reduce_1/Squeeze,1 1 1 32,128
511,efficientnetv2-s_1/block4f_se_reduce_1/Sigmoid,1 1 1 32,128
512,efficientnetv2-s_1/block4f_se_reduce_1/mul_1,1 1 1 32,128
513,efficientnetv2-s_1/block4f_se_expand_1/BiasAdd;efficientnetv2-s_1/block4f_se_expand_1/convolution;efficientnetv2-s_1/block4f_se_expand_1/Squeeze,1 1 1 512,2048
514,efficientnetv2-s_1/block4f_se_expand_1/Sigmoid,1 1 1 512,2048
515,efficientnetv2-s_1/block4f_se_excite_1/Mul,1 24 24 512,1179648
516,efficientnetv2-s_1/block4f_project_bn_1/batchnorm/add_1;efficientnetv2-s_1/block4f_project_conv_1/convolution;efficientnetv2-s_1/block4f_project_bn_1/batchnorm/sub,1 24 24 128,294912
517,efficientnetv2-s_1/block4f_add_1/Add,1 24 24 128,294912
518,efficientnetv2-s_1/block5a_expand_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5a_expand_conv_1/convolution;efficientnetv2-s_1/block5a_expand_bn_1/batchnorm/sub,1 24 24 768,1769472
519,efficientnetv2-s_1/block5a_expand_activation_1/Sigmoid,1 24 24 768,1769472
520,efficientnetv2-s_1/block5a_expand_activation_1/mul_1,1 24 24 768,1769472
521,efficientnetv2-s_1/block5a_bn_1/batchnorm/add_1;efficientnetv2-s_1/block5a_bn_1/batchnorm/mul_1;efficientnetv2-s_1/block5a_dwconv2_1/depthwise;efficientnetv2-s_1/block5a_bn_1/batchnorm/mul;efficientnetv2-s_1/block5a_bn_1/batchnorm/sub,1 24 24 768,1769472
