Operator,Working set,Memory use,MACs
MobileNetV3Large_1/expanded_conv_9_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_9_expand_1/convolution;,195 196,1056,14720
MobileNetV3Large_1/activation_7_1/mul;;MobileNetV3Large_1/activation_7_1/Relu6;MobileNetV3Large_1/activation_7_1/add;MobileNetV3Large_1/activation_7_1/truediv,195 196 197,1792,0
MobileNetV3Large_1/expanded_conv_9_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_9_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_9_depthwise_1/depthwise;,195 197 198,1792,1656
MobileNetV3Large_1/activation_8_1/mul;;MobileNetV3Large_1/activation_8_1/Relu6;MobileNetV3Large_1/activation_8_1/add;MobileNetV3Large_1/activation_8_1/truediv,195 198 199,1792,0
MobileNetV3Large_1/expanded_conv_9_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_9_project_1/convolution;,195 199 200,1376,14720
MobileNetV3Large_1/expanded_conv_9_add_1/Add,195 200 201,960,80
MobileNetV3Large_1/expanded_conv_10_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_10_expand_1/convolution;,201 202,2240,38400
MobileNetV3Large_1/activation_9_1/mul;;MobileNetV3Large_1/activation_9_1/Relu6;MobileNetV3Large_1/activation_9_1/add;MobileNetV3Large_1/activation_9_1/truediv,202 203,3840,0
MobileNetV3Large_1/expanded_conv_10_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_10_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_10_depthwise_1/depthwise;,203 204,3840,4320
MobileNetV3Large_1/activation_10_1/mul;;MobileNetV3Large_1/activation_10_1/Relu6;MobileNetV3Large_1/activation_10_1/add;MobileNetV3Large_1/activation_10_1/truediv,204 205,3840,0
MobileNetV3Large_1/expanded_conv_10_squeeze_excite_avg_pool_1/Mean,205 206,3840,480
