Id,Name,Shape,Size
184,MobileNetV3Large_1/expanded_conv_7_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_7_expand_1/convolution;,1 1 1 200,800
185,MobileNetV3Large_1/activation_3_1/mul;;MobileNetV3Large_1/activation_3_1/Relu6;MobileNetV3Large_1/activation_3_1/add;MobileNetV3Large_1/activation_3_1/truediv,1 1 1 200,800
186,MobileNetV3Large_1/expanded_conv_7_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_7_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_7_depthwise_1/depthwise;,1 1 1 200,800
187,MobileNetV3Large_1/activation_4_1/mul;;MobileNetV3Large_1/activation_4_1/Relu6;MobileNetV3Large_1/activation_4_1/add;MobileNetV3Large_1/activation_4_1/truediv,1 1 1 200,800
188,MobileNetV3Large_1/expanded_conv_7_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_7_project_1/convolution;,1 1 1 80,320
189,MobileNetV3Large_1/expanded_conv_7_add_1/Add,1 1 1 80,320
190,MobileNetV3Large_1/expanded_conv_8_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_8_expand_1/convolution;,1 1 1 184,736
191,MobileNetV3Large_1/activation_5_1/mul;;MobileNetV3Large_1/activation_5_1/Relu6;MobileNetV3Large_1/activation_5_1/add;MobileNetV3Large_1/activation_5_1/truediv,1 1 1 184,736
192,MobileNetV3Large_1/expanded_conv_8_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_8_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_8_depthwise_1/depthwise;,1 1 1 184,736
193,MobileNetV3Large_1/activation_6_1/mul;;MobileNetV3Large_1/activation_6_1/Relu6;MobileNetV3Large_1/activation_6_1/add;MobileNetV3Large_1/activation_6_1/truediv,1 1 1 184,736
194,MobileNetV3Large_1/expanded_conv_8_project_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_8_project_1/convolution;,1 1 1 80,320
195,MobileNetV3Large_1/expanded_conv_8_add_1/Add,1 1 1 80,320
196,MobileNetV3Large_1/expanded_conv_9_expand_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_9_expand_1/convolution;,1 1 1 184,736
197,MobileNetV3Large_1/activation_7_1/mul;;MobileNetV3Large_1/activation_7_1/Relu6;MobileNetV3Large_1/activation_7_1/add;MobileNetV3Large_1/activation_7_1/truediv,1 1 1 184,736
198,MobileNetV3Large_1/expanded_conv_9_depthwise_bn_1/batchnorm/add_1;MobileNetV3Large_1/expanded_conv_9_depthwise_bn_1/batchnorm/mul_1;MobileNetV3Large_1/expanded_conv_9_depthwise_1/depthwise;,1 1 1 184,736
199,MobileNetV3Large_1/activation_8_1/mul;;MobileNetV3Large_1/activation_8_1/Relu6;MobileNetV3Large_1/activation_8_1/add;MobileNetV3Large_1/activation_8_1/truediv,1 1 1 184,736
